EURUSD,Open,High,Low,Close,Range HL
26.09.2014,1.2751,1.2761,1.2677,1.2684,84
29.09.2014,1.2691,1.2715,1.2664,1.2685,51
30.09.2014,1.2685,1.2702,1.2571,1.2631,131
01.10.2014,1.2631,1.264,1.2584,1.2623,56
02.10.2014,1.2623,1.2699,1.2614,1.2669,85
03.10.2014,1.2669,1.2675,1.2501,1.2516,174
06.10.2014,1.2507,1.2675,1.2504,1.2655,171
07.10.2014,1.2655,1.2682,1.2584,1.2669,98
08.10.2014,1.2669,1.2749,1.2623,1.2734,126
09.10.2014,1.2734,1.2791,1.2664,1.2691,127
10.10.2014,1.2691,1.2716,1.2606,1.2628,110
13.10.2014,1.2632,1.2761,1.262,1.2752,141
14.10.2014,1.2752,1.2768,1.264,1.2658,128
15.10.2014,1.2658,1.2886,1.2625,1.2838,261
16.10.2014,1.2838,1.2845,1.2706,1.2809,139
17.10.2014,1.2809,1.2837,1.2744,1.2761,93
20.10.2014,1.276,1.2817,1.2731,1.28,86
21.10.2014,1.28,1.284,1.2715,1.2716,125
22.10.2014,1.2716,1.274,1.2637,1.2649,103
23.10.2014,1.2649,1.2677,1.2614,1.2646,63
24.10.2014,1.2646,1.2696,1.2635,1.2671,61
27.10.2014,1.2679,1.2723,1.2666,1.2698,57
28.10.2014,1.2698,1.2765,1.2685,1.2734,80
29.10.2014,1.2734,1.2771,1.2631,1.2632,140
30.10.2014,1.2632,1.2639,1.2548,1.2613,91
31.10.2014,1.2613,1.2618,1.2486,1.2525,132
03.11.2014,1.2517,1.2518,1.244,1.2482,78
04.11.2014,1.2482,1.2577,1.2481,1.2546,96
05.11.2014,1.2546,1.2567,1.2457,1.2486,110
06.11.2014,1.2486,1.2533,1.2365,1.2375,168
07.11.2014,1.2375,1.247,1.2358,1.2455,112
10.11.2014,1.2457,1.2509,1.2419,1.2421,90
11.11.2014,1.2421,1.2499,1.2395,1.2475,104
12.11.2014,1.2475,1.2498,1.2419,1.2438,79
13.11.2014,1.2438,1.2492,1.2427,1.2477,65
14.11.2014,1.2477,1.2546,1.2399,1.2525,147
17.11.2014,1.253,1.2578,1.2445,1.245,133
18.11.2014,1.245,1.2545,1.2444,1.2536,101
19.11.2014,1.2536,1.26,1.2513,1.2554,87
20.11.2014,1.2554,1.2575,1.2504,1.2539,71
21.11.2014,1.2539,1.2568,1.2375,1.2391,193
24.11.2014,1.2376,1.2445,1.236,1.2442,85
25.11.2014,1.2443,1.2487,1.2402,1.2474,85
26.11.2014,1.2474,1.2532,1.2444,1.2506,88
27.11.2014,1.2506,1.2524,1.2465,1.2467,59
28.11.2014,1.2467,1.249,1.2427,1.2452,63
01.12.2014,1.2453,1.2507,1.2419,1.247,88
02.12.2014,1.247,1.2476,1.2377,1.2383,99
03.12.2014,1.2383,1.2391,1.2301,1.2311,90
04.12.2014,1.2311,1.2456,1.228,1.2379,176
05.12.2014,1.2379,1.2393,1.2271,1.2283,122
08.12.2014,1.2284,1.2344,1.2247,1.2317,97
09.12.2014,1.2317,1.2448,1.2292,1.2374,156
10.12.2014,1.2374,1.2448,1.2362,1.2448,86
11.12.2014,1.2448,1.2495,1.237,1.2411,125
12.12.2014,1.2411,1.2485,1.2384,1.2462,101
15.12.2014,1.2463,1.2484,1.2415,1.2437,69
16.12.2014,1.2437,1.257,1.2434,1.2511,136
17.12.2014,1.2511,1.2516,1.2321,1.2342,195
18.12.2014,1.2342,1.2353,1.2266,1.2286,87
19.12.2014,1.2286,1.2302,1.222,1.2229,82
22.12.2014,1.2225,1.2273,1.2217,1.223,56
23.12.2014,1.223,1.2246,1.2165,1.2172,81
24.12.2014,1.2172,1.222,1.217,1.2196,50
25.12.2014,1.2196,1.2252,1.2188,1.2225,64
26.12.2014,1.2225,1.2227,1.2169,1.2183,58
29.12.2014,1.2188,1.2221,1.2143,1.2152,78
30.12.2014,1.2152,1.2188,1.2124,1.2156,64
31.12.2014,1.2156,1.217,1.2097,1.2098,73
01.01.2015,1.2098,1.2109,1.2098,1.2104,11
02.01.2015,1.2104,1.2108,1.2001,1.2002,107
05.01.2015,1.2002,1.2007,1.1864,1.1933,143
06.01.2015,1.1933,1.1969,1.1884,1.189,85
07.01.2015,1.189,1.1897,1.1802,1.1839,95
08.01.2015,1.1839,1.1848,1.1754,1.1793,94
09.01.2015,1.1793,1.1846,1.1763,1.1842,83
12.01.2015,1.1836,1.1871,1.1786,1.1834,85
13.01.2015,1.1834,1.186,1.1753,1.1773,107
14.01.2015,1.1773,1.1846,1.1727,1.1789,119
15.01.2015,1.1789,1.1793,1.1568,1.1633,225
16.01.2015,1.1633,1.1649,1.146,1.1567,189
19.01.2015,1.1563,1.1639,1.1546,1.1606,93
20.01.2015,1.1606,1.1615,1.1541,1.155,74
21.01.2015,1.155,1.1679,1.1542,1.161,137
22.01.2015,1.161,1.165,1.1316,1.1366,334
23.01.2015,1.1366,1.1374,1.1115,1.1204,259
26.01.2015,1.1189,1.1296,1.1098,1.1238,198
27.01.2015,1.1239,1.1423,1.1224,1.1381,199
28.01.2015,1.1381,1.1383,1.1276,1.1287,107
29.01.2015,1.1287,1.1368,1.1262,1.132,106
30.01.2015,1.132,1.1364,1.1279,1.1291,85
02.02.2015,1.1285,1.1362,1.1279,1.1341,83
03.02.2015,1.1341,1.1534,1.1313,1.1481,221
04.02.2015,1.1481,1.1485,1.1316,1.1345,169
05.02.2015,1.1345,1.1499,1.1304,1.1477,195
06.02.2015,1.1477,1.1486,1.1312,1.1316,174
09.02.2015,1.1316,1.1359,1.127,1.1325,89
10.02.2015,1.1325,1.1345,1.1273,1.1321,72
11.02.2015,1.1321,1.1348,1.128,1.1336,68
12.02.2015,1.1336,1.1423,1.1303,1.1403,120
13.02.2015,1.1403,1.1443,1.138,1.1394,63
16.02.2015,1.1401,1.1429,1.132,1.1355,109
17.02.2015,1.1355,1.1449,1.1322,1.1411,127
18.02.2015,1.1411,1.1416,1.1334,1.1397,82
